,Peak (p90+),Non-peak,diff(A-B)
DE_amprion_load_actual_entsoe_transparency,0.09564133597040644,0.044231239210062515,0.05141009676034393
target_load_lag_24,0.05307489424299584,0.03412072332790325,0.01895417091509259
target_load_rolling_mean_3,0.037841891355170576,0.02131143816561775,0.016530453189552825
DE_transnetbw_load_actual_entsoe_transparency,0.0351267068806995,0.021030084742313895,0.014096622138385605
sarima_pred,0.028297889390205597,0.014840026377859883,0.013457863012345713
DE_50hertz_load_actual_entsoe_transparency,0.05824218594614255,0.045021988687433484,0.013220197258709064
target_load_ema_6,0.033790291555818135,0.021488826092048424,0.012301465463769711
DE_wind_onshore_generation_actual,0.018963691184277046,0.007179495165121569,0.011784196019155476
wind_proxy,0.02054927913295714,0.008787690510520078,0.01176158862243706
DE_50hertz_wind_generation_actual,0.018345661478551455,0.009234551138349562,0.009111110340201893
DE_amprion_wind_onshore_generation_actual,0.016227343373093863,0.008190848494320427,0.008036494878773436
target_load_ema_12,0.015341300275712136,0.01114461993074197,0.0041966803449701665
DE_50hertz_solar_generation_actual_lag_24,0.015818431293880428,0.015165056197429975,0.000653375096450453
target_load_rolling_std_24,0.013145643731554935,0.013280995815927786,-0.00013535208437285076
DE_50hertz_solar_generation_actual,0.01755117285140391,0.019290409884159015,-0.0017392370327551053
