,Weekday,Weekend,diff(A-B)
DE_amprion_load_actual_entsoe_transparency,0.0521742961871096,0.0425782437863812,0.009596052400728403
target_load_lag_24,0.0386824773810053,0.029551186416646457,0.00913129096435884
DE_50hertz_load_actual_entsoe_transparency,0.047720379833037924,0.04300677908052582,0.0047136007525121065
season_Summer,0.010968184804577506,0.008567673618252608,0.0024005111863248975
target_load_rolling_mean_3,0.02355578230238288,0.021530786350979304,0.0020249959514035756
DE_50hertz_wind_generation_actual,0.010708576579397036,0.008780787514235095,0.001927789065161941
sarima_pred,0.016389936459122734,0.015690882417929996,0.0006990540411927378
DE_50hertz_solar_generation_actual_lag_24,0.01511092511323927,0.015520064133224718,-0.0004091390199854484
DE_transnetbw_load_actual_entsoe_transparency,0.022177814173900988,0.023074844250104642,-0.0008970300762036545
target_load_ema_6,0.022316743436771213,0.023694240702710187,-0.001377497265938974
target_load_lag_12,0.011379674910952433,0.013287685430269206,-0.0019080105193167735
target_load_rolling_std_3,0.009382715035939867,0.01150613820070338,-0.002123423164763513
target_load_ema_12,0.010425336206795343,0.014325855927492746,-0.0039005197206974027
DE_50hertz_solar_generation_actual,0.017929305219033173,0.021994993444547993,-0.00406568822551482
target_load_rolling_std_24,0.012043529426135787,0.016235074567761524,-0.004191545141625737
